m,TagName,
"2009-09-01 00:00:00","scala","63"
"2009-09-01 00:00:00","sql","1352"
"2009-10-01 00:00:00","ada","4"
"2009-10-01 00:00:00","assembly","73"
"2009-10-01 00:00:00","awk","44"
"2009-10-01 00:00:00","bash","154"
"2009-10-01 00:00:00","basic","1"
"2009-10-01 00:00:00","c","770"
"2009-10-01 00:00:00","c#","4718"
"2009-10-01 00:00:00","c++","1682"
"2009-10-01 00:00:00","clojure","59"
"2009-10-01 00:00:00","cobol","3"
"2009-10-01 00:00:00","curl","41"
"2009-10-01 00:00:00","delphi","254"
"2009-10-01 00:00:00","fortran","15"
"2009-10-01 00:00:00","groovy","53"
"2009-10-01 00:00:00","haskell","54"
"2009-10-01 00:00:00","java","2498"
"2009-10-01 00:00:00","javascript","2044"
"2009-10-01 00:00:00","matlab","70"
"2009-10-01 00:00:00","objective-c","748"
"2009-10-01 00:00:00","pascal","3"
"2009-10-01 00:00:00","perl","281"
"2009-10-01 00:00:00","php","2337"
"2009-10-01 00:00:00","prolog","16"
"2009-10-01 00:00:00","python","1414"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","ruby","491"
"2009-10-01 00:00:00","scala","100"
"2009-10-01 00:00:00","sql","1477"
"2009-11-01 00:00:00","ada","5"
"2009-11-01 00:00:00","assembly","82"
"2009-11-01 00:00:00","awk","12"
"2009-11-01 00:00:00","bash","127"
"2009-11-01 00:00:00","basic","1"
"2009-11-01 00:00:00","c","958"
"2009-11-01 00:00:00","c#","4674"
"2009-11-01 00:00:00","c++","1744"
"2009-11-01 00:00:00","clojure","46"
"2009-11-01 00:00:00","cobol","6"
"2009-11-01 00:00:00","curl","50"
"2009-11-01 00:00:00","delphi","273"
"2009-11-01 00:00:00","fortran","8"
"2009-11-01 00:00:00","go","65"
"2009-11-01 00:00:00","groovy","36"
"2009-11-01 00:00:00","haskell","82"
"2009-11-01 00:00:00","java","2753"
"2009-11-01 00:00:00","javascript","2232"
"2009-11-01 00:00:00","matlab","116"
"2009-11-01 00:00:00","objective-c","758"
"2009-11-01 00:00:00","pascal","11"
"2009-11-01 00:00:00","perl","322"
"2009-11-01 00:00:00","php","2664"
"2009-11-01 00:00:00","prolog","31"
"2009-11-01 00:00:00","python","1549"
"2009-11-01 00:00:00","r","93"
"2009-11-01 00:00:00","ruby","654"
"2009-11-01 00:00:00","scala","95"
"2009-11-01 00:00:00","sql","1216"
"2009-12-01 00:00:00","ada","2"
"2009-12-01 00:00:00","assembly","62"
"2009-12-01 00:00:00","awk","20"
"2009-12-01 00:00:00","bash","120"
"2009-12-01 00:00:00","basic","1"
"2009-12-01 00:00:00","c","848"
"2009-12-01 00:00:00","c#","4482"
"2009-12-01 00:00:00","c++","1651"
"2009-12-01 00:00:00","clojure","38"
"2009-12-01 00:00:00","cobol","3"
"2009-12-01 00:00:00","curl","59"
"2009-12-01 00:00:00","delphi","281"
"2009-12-01 00:00:00","fortran","13"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","groovy","50"
"2009-12-01 00:00:00","haskell","74"
"2009-12-01 00:00:00","java","2676"
"2009-12-01 00:00:00","javascript","2300"
"2009-12-01 00:00:00","matlab","101"
"2009-12-01 00:00:00","objective-c","782"
"2009-12-01 00:00:00","pascal","3"
"2009-12-01 00:00:00","perl","261"
"2009-12-01 00:00:00","php","2788"
"2009-12-01 00:00:00","prolog","36"
"2009-12-01 00:00:00","python","1583"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","ruby","570"
"2009-12-01 00:00:00","scala","84"
"2009-12-01 00:00:00","sql","1188"
"2010-01-01 00:00:00","ada","4"
"2010-01-01 00:00:00","assembly","100"
"2010-01-01 00:00:00","awk","41"
"2010-01-01 00:00:00","bash","160"
"2010-01-01 00:00:00","basic","4"
"2010-01-01 00:00:00","c","977"
"2010-01-01 00:00:00","c#","5107"
"2010-01-01 00:00:00","c++","1995"
"2010-01-01 00:00:00","clojure","37"
"2010-01-01 00:00:00","cobol","9"
"2010-01-01 00:00:00","curl","76"
"2010-01-01 00:00:00","delphi","302"
"2010-01-01 00:00:00","fortran","11"
"2010-01-01 00:00:00","go","15"
"2010-01-01 00:00:00","groovy","62"
"2010-01-01 00:00:00","haskell","61"
"2010-01-01 00:00:00","java","3715"
"2010-01-01 00:00:00","javascript","2619"
"2010-01-01 00:00:00","matlab","92"
"2010-01-01 00:00:00","objective-c","990"
"2010-01-01 00:00:00","pascal","7"
"2010-01-01 00:00:00","perl","299"
"2010-01-01 00:00:00","php","3405"
"2010-01-01 00:00:00","prolog","20"
"2010-01-01 00:00:00","python","1933"
"2010-01-01 00:00:00","r","94"
"2010-01-01 00:00:00","ruby","682"
"2010-01-01 00:00:00","scala","105"
"2010-01-01 00:00:00","sql","1251"
"2010-02-01 00:00:00","ada","7"
"2010-02-01 00:00:00","assembly","69"
"2010-02-01 00:00:00","awk","30"
"2010-02-01 00:00:00","bash","151"
"2010-02-01 00:00:00","basic","1"
"2010-02-01 00:00:00","c","1034"
"2010-02-01 00:00:00","c#","5088"
"2010-02-01 00:00:00","c++","2275"
"2010-02-01 00:00:00","clojure","40"
"2010-02-01 00:00:00","cobol","7"
"2010-02-01 00:00:00","curl","45"
"2010-02-01 00:00:00","delphi","283"
"2010-02-01 00:00:00","fortran","13"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","groovy","59"
"2010-02-01 00:00:00","haskell","91"
"2010-02-01 00:00:00","java","3570"
"2010-02-01 00:00:00","javascript","2636"
"2010-02-01 00:00:00","matlab","111"
"2010-02-01 00:00:00","objective-c","1008"
"2010-02-01 00:00:00","pascal","8"
"2010-02-01 00:00:00","perl","347"
"2010-02-01 00:00:00","php","3136"
"2010-02-01 00:00:00","prolog","23"
"2010-02-01 00:00:00","python","1860"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","ruby","688"
"2010-02-01 00:00:00","scala","115"
"2010-02-01 00:00:00","sql","1286"
"2010-03-01 00:00:00","ada","10"
"2010-03-01 00:00:00","assembly","123"
"2010-03-01 00:00:00","awk","28"
"2010-03-01 00:00:00","bash","222"
"2010-03-01 00:00:00","basic","4"
"2010-03-01 00:00:00","c","1112"
"2010-03-01 00:00:00","c#","6020"
"2010-03-01 00:00:00","c++","2428"
"2010-03-01 00:00:00","clojure","40"
"2010-03-01 00:00:00","cobol","6"
"2010-03-01 00:00:00","curl","58"
"2010-03-01 00:00:00","delphi","315"
"2010-03-01 00:00:00","fortran","19"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","groovy","64"
"2010-03-01 00:00:00","haskell","92"
"2010-03-01 00:00:00","java","4436"
"2010-03-01 00:00:00","javascript","2986"
"2010-03-01 00:00:00","matlab","122"
"2010-03-01 00:00:00","objective-c","1130"
"2010-03-01 00:00:00","pascal","6"
"2010-03-01 00:00:00","perl","390"
"2010-03-01 00:00:00","php","3706"
"2010-03-01 00:00:00","prolog","26"
"2010-03-01 00:00:00","python","2069"
"2010-03-01 00:00:00","r","139"
"2010-03-01 00:00:00","ruby","692"
"2010-03-01 00:00:00","scala","116"
"2010-03-01 00:00:00","sql","1462"
"2010-04-01 00:00:00","ada","11"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","awk","46"
"2010-04-01 00:00:00","bash","206"
"2010-04-01 00:00:00","c","1179"
"2010-04-01 00:00:00","c#","5767"
"2010-04-01 00:00:00","c++","2486"
"2010-04-01 00:00:00","clojure","45"
"2010-04-01 00:00:00","cobol","5"
"2010-04-01 00:00:00","curl","107"
"2010-04-01 00:00:00","delphi","268"
"2010-04-01 00:00:00","fortran","13"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","groovy","70"
"2010-04-01 00:00:00","haskell","82"
"2010-04-01 00:00:00","java","3869"
"2010-04-01 00:00:00","javascript","3011"
"2010-04-01 00:00:00","matlab","184"
"2010-04-01 00:00:00","objective-c","1156"
"2010-04-01 00:00:00","pascal","7"
"2010-04-01 00:00:00","perl","363"
"2010-04-01 00:00:00","php","3626"
"2010-04-01 00:00:00","prolog","22"
"2010-04-01 00:00:00","python","1805"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","ruby","752"
"2010-04-01 00:00:00","scala","163"
"2010-04-01 00:00:00","sql","1321"
"2010-05-01 00:00:00","ada","4"
"2010-05-01 00:00:00","assembly","108"
"2010-05-01 00:00:00","awk","17"
"2010-05-01 00:00:00","bash","184"
"2010-05-01 00:00:00","basic","1"
"2010-05-01 00:00:00","c","1178"
"2010-05-01 00:00:00","c#","5922"
"2010-05-01 00:00:00","c++","2414"
"2010-05-01 00:00:00","clojure","67"
"2010-05-01 00:00:00","cobol","1"
"2010-05-01 00:00:00","coffeescript","1"
"2010-05-01 00:00:00","curl","71"
"2010-05-01 00:00:00","delphi","280"
"2010-05-01 00:00:00","fortran","18"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","groovy","79"
"2010-05-01 00:00:00","haskell","117"
"2010-05-01 00:00:00","java","4160"
"2010-05-01 00:00:00","javascript","3231"
"2010-05-01 00:00:00","matlab","206"
"2010-05-01 00:00:00","objective-c","1305"
"2010-05-01 00:00:00","pascal","7"
"2010-05-01 00:00:00","perl","286"
"2010-05-01 00:00:00","php","3948"
"2010-05-01 00:00:00","prolog","17"
"2010-05-01 00:00:00","python","2008"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","ruby","775"
"2010-05-01 00:00:00","scala","167"
"2010-05-01 00:00:00","sql","1445"
"2010-06-01 00:00:00","ada","4"
"2010-06-01 00:00:00","assembly","90"
"2010-06-01 00:00:00","awk","36"
"2010-06-01 00:00:00","bash","196"
"2010-06-01 00:00:00","c","1150"
"2010-06-01 00:00:00","c#","6133"
"2010-06-01 00:00:00","c++","2818"
"2010-06-01 00:00:00","clojure","77"
"2010-06-01 00:00:00","cobol","3"
"2010-06-01 00:00:00","coffeescript","2"
"2010-06-01 00:00:00","curl","86"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","fortran","13"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","groovy","92"
"2010-06-01 00:00:00","haskell","108"
"2010-06-01 00:00:00","java","4271"
"2010-06-01 00:00:00","javascript","3472"
"2010-06-01 00:00:00","matlab","146"
"2010-06-01 00:00:00","objective-c","1433"
"2010-06-01 00:00:00","pascal","12"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","php","4063"
"2010-06-01 00:00:00","prolog","20"
"2010-06-01 00:00:00","python","2202"
"2010-06-01 00:00:00","r","176"
"2010-06-01 00:00:00","ruby","850"
"2010-06-01 00:00:00","scala","173"
"2010-06-01 00:00:00","sql","1622"
"2010-07-01 00:00:00","ada","19"
"2010-07-01 00:00:00","assembly","97"
"2010-07-01 00:00:00","awk","35"
"2010-07-01 00:00:00","bash","194"
"2010-07-01 00:00:00","basic","3"
"2010-07-01 00:00:00","c","1282"
"2010-07-01 00:00:00","c#","6672"
"2010-07-01 00:00:00","c++","2672"
"2010-07-01 00:00:00","clojure","95"
"2010-07-01 00:00:00","cobol","10"
"2010-07-01 00:00:00","coffeescript","1"
"2010-07-01 00:00:00","curl","97"
"2010-07-01 00:00:00","delphi","333"
"2010-07-01 00:00:00","fortran","23"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","groovy","56"
"2010-07-01 00:00:00","haskell","126"
"2010-07-01 00:00:00","java","4499"
"2010-07-01 00:00:00","javascript","3876"
"2010-07-01 00:00:00","matlab","151"
"2010-07-01 00:00:00","objective-c","1931"
"2010-07-01 00:00:00","pascal","7"
"2010-07-01 00:00:00","perl","435"
"2010-07-01 00:00:00","php","4570"
"2010-07-01 00:00:00","prolog","22"
"2010-07-01 00:00:00","python","2579"
"2010-07-01 00:00:00","r","233"
"2010-07-01 00:00:00","ruby","909"
"2010-07-01 00:00:00","rust","1"
"2010-07-01 00:00:00","scala","185"
"2010-07-01 00:00:00","sql","1824"
"2010-08-01 00:00:00","ada","4"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","awk","50"
"2010-08-01 00:00:00","bash","230"
"2010-08-01 00:00:00","basic","2"
"2010-08-01 00:00:00","c","1364"
"2010-08-01 00:00:00","c#","6953"
"2010-08-01 00:00:00","c++","2625"
"2010-08-01 00:00:00","clojure","100"
"2010-08-01 00:00:00","cobol","4"
"2010-08-01 00:00:00","coffeescript","1"
"2010-08-01 00:00:00","curl","98"
"2010-08-01 00:00:00","delphi","353"
"2010-08-01 00:00:00","fortran","23"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","groovy","59"
"2010-08-01 00:00:00","haskell","98"
